abandon	L01 U01	[əˈbændən][sound:abandon.mp3]<br />		<hr /><strong>构词</strong>　【根】a-[ad-, to]+ban[v.＆n.禁令]+-don[v.＆n.], to ban, 禁令下达后的结果→v.放弃；停止做某事；放弃（理智、责任）→v.＆n.放纵<br />	<hr />【<strong>考法 1</strong>】<br />v./n. <strong><ins>放纵：</ins></strong>carefree, freedom from <strong><ins>constraint</ins></strong><br /><strong>例</strong>　abandon oneself to emotion　感情用事<br /><strong>近</strong>　unconstraint, uninhibitedness, unrestraint<br /><hr />【<strong>考法 2</strong>】<br />v. <strong><ins>放弃：</ins></strong>to <strong><ins>withdraw</ins></strong> from often in the face of danger or encroachment<br /><strong>例</strong>　abandon the home　离家<br /><strong>反</strong>　salvage　救援<br />
accessible	L01 U04	[əkˈsesəbl][sound:accessible.mp3]<br />		<hr /><strong>构词</strong>　【根】ac-[ad-, to]+cess[go]+-ible[a., able], (destination) abletogoto→a.可以到达的；（intelligently) able to go to→a.可以理解的；able to access, 能够接近，引申→a.能够获得的<br /><strong>词根</strong>　<strong>ced, cess</strong>　词根ced和cess表示go[走]，其中尾辅音d-s相互替换（很多情况下，词根中辅音字母的双写与单写在含义上是等价的，例如词根cess的ss可以看做s）。access[接近]字面含义“go[cess]to[ac-=ad-]”。<br /><strong>同根</strong>　accede, accessory, accessible, intercessor, precedent, predecessor, recessive, secede<br />	<hr />【<strong>考法 1</strong>】<br />a. <strong><ins>可以到达的：</ins></strong>situated <strong><ins>within easy reach</ins></strong><br /><strong>例</strong>　the town accessible by rail　有铁路通达的城镇<br /><strong>近</strong>　handy, reachable<br /><strong>反</strong>　inconvenient, unhandy, unreachable, untouchable　无法到达的，不方便的<br /><hr />【<strong>考法 2</strong>】<br />a. <strong><ins>可理解的：</ins></strong>capable of being <strong><ins>understood</ins></strong> or appreciated<br /><strong>例</strong>　accessible to general audience　对于普通读者浅显易懂<br /><strong>近</strong>　apprehensible, fathomable, legible, scrutable<br /><strong>反</strong>　abstruse, incoherent, incomprehensible, inscrutable, insensible　深奥的；难以理解的<br />
accessory	L01 U04	[əkˈsesəri][sound:accessory.mp3]<br />		<hr /><strong>构词</strong>　【根】ac-[ad-]+cess[go]+-ory[a.＆n.], go to (an organization), 加入（组织）的→a.辅助的，附属的；辅助（做坏事）的人→n.帮凶<br />　　　【注】accessory可看做accede[入职，加入]的形容词形式。当一个人加入一个组织，那么他对这个组织来讲就是“辅助的，附属的”。<br /><strong>词根</strong>　<strong>ced, cess</strong>　词根ced和cess表示go[走]，其中尾辅音d-s相互替换（很多情况下，词根中辅音字母的双写与单写在含义上是等价的，例如词根cess的ss可以看做s）。access[接近]字面含义“go[cess]to[ac-=ad-]”。<br /><strong>同根</strong>　accede, accessory, accessible, intercessor, precedent, predecessor, recessive, secede<br />	<hr />【<strong>考法 1</strong>】<br />a. <strong><ins>辅助的，附属的：</ins></strong>having a <strong><ins>secondary</ins></strong>, <strong><ins>supplementary</ins></strong>, or <strong><ins>subordinate</ins></strong> function<br /><strong>例</strong>　accessory features such as call-waiting　类似呼叫等待的附属功能<br /><strong>近</strong>　peripheral, supplementary<br /><strong>反</strong>　of primarily importance, chief, main, principal　主要的<br />
accidental	L01 U04	[ˌæksɪˈdentl][sound:accidental.mp3]<br />		<hr /><strong>构词</strong>　【根】ac-[ad-, to]+cid[fall]+-ent[n.]+-al[a.], to fall, 事件的偶然降临, by accident→a.意外发生的，偶然的；〈联〉像落[cid]叶一样（随着秋风飘落，对这个世界毫无影响）→a.附带的，不重要的<br /><strong>词根</strong>　<strong>cid, cad, cas</strong>　词根cid（其他形式cad, cas, ）表示“fall[落下，下降]”, 例如occident[n.西方]指“太阳落下[cid]的地方”。该词根也引申指“事件的（意外）降临”，例如casual[偶然的]指“落下[cas]的[-ual], 事件[case]降临，落在人的头上”，类似的单词还有incident[n.事件], accident[n.事故；意外]。<br /><strong>同根</strong>　accidental, recidivate, cascade, decadent<br />	<hr />【<strong>考法 1</strong>】<br />a. <strong><ins>意外发生的，偶然的：</ins></strong>occurring <strong><ins>unexpectedly</ins></strong> or by chance<br /><strong>例</strong>　accidental death　意外死亡<br /><strong>近</strong>　incidental, fortuitous, unintended, unintentional, unpremeditated, unwitting<br /><strong>反</strong>　calculated, deliberate, intended, planned, premeditated　预先计划好的<br />
acclimate	L01 U04	[ˈækləmeɪt][sound:acclimate.mp3]<br />			<hr />【<strong>考法 1</strong>】<br />vt. <strong><ins>使适应：</ins></strong><strong><ins>to change</ins></strong> (something) <strong><ins>so as to make it suitable</ins></strong> for a new use or situation<br /><strong>例</strong>　acclimate oneself to a nine-to-five office job　适应朝九晚五的坐班生活<br /><strong>近</strong>　adjust, accommodate, shape, suit, tailor<br /><strong>反</strong>　make unfamiliar with　使不熟悉<br />
accolade	L01 U04	[ˈækəleɪd][sound:accolade.mp3]<br />			<hr />【<strong>考法 1</strong>】<br />n. <strong><ins>同意，赞赏：</ins></strong>an expression of <strong><ins>approval</ins></strong><br /><strong>例</strong>　The director won virtually every accolade that the film world offered．这位导演赢得了电影界几乎一致的赞赏。<br /><strong>近</strong>　applause, credit, distinction<br /><strong>反</strong>　disapprobation　不赞成<br /><hr />【<strong>考法 2</strong>】<br />v. <strong><ins>赞扬：</ins></strong>to <strong><ins>praise</ins></strong> or honor<br /><strong>反</strong>　excoriate, criticise, reprobate, castigate, derogate, reproof, denigrate, denunciate　批评，谴责<br />
accommodate	L01 U04	[əˈkɑːmədeɪt][sound:accommodate.mp3]<br />			<hr />【<strong>考法 1</strong>】<br />v. <strong><ins>改变以适应新情况、新场景：</ins></strong>to change (something) so as to <strong><ins>make</ins></strong> it <strong><ins>suitable</ins></strong> for a new use or situation<br /><strong>例</strong>　accommodate to the life overseas　适应海外的生活<br /><strong>近</strong>　acclimate, adjust, condition, conform, doctor, edit, shape, suit, tailor<br /><hr />【<strong>考法 2</strong>】<br />vt. <strong><ins>使和谐：</ins></strong>to bring to a state <strong><ins>free of conflicts</ins></strong>, inconsistencies, or differences<br /><strong>例</strong>　The idea that the United States could harmoniously accommodate all was a fiction．认为美国能够和谐一切的想法只是幻想。<br /><strong>近</strong>　attune, conciliate, conform, coordinate, reconcile<br /><strong>反</strong>　disharmonize　使不和谐<br />
ad hoc	L01 U04	[ˌæd ˈhɑːkl]<br />			<hr />【<strong>考法 1</strong>】<br />a. <strong><ins>专门的：</ins></strong>concerned with a <strong><ins>particular end</ins></strong> or purpose<br /><strong>例</strong>　an ad hoc investigating committee　一个专门的调查委员会<br /><strong>近</strong>　specific, specified<br />
accrete	L01 U05	[æˈkriːt][sound:accrete.mp3]<br />			<hr />【<strong>考法 1</strong>】<br />v. <strong><ins>逐渐增长：</ins></strong>to <strong><ins>grow</ins></strong> or increase <strong><ins>gradually</ins></strong>, as by addition<br /><strong>例</strong>　accrete the public interest　增加公众利益<br /><strong>近</strong>　accumulate, build up, pile (up), stack（up）<br /><strong>反</strong>　wear away　衰退<br /><strong>派</strong>　accretion n．慢慢增加<br />
accumulate	L01 U05	[əˈkjuːmjəleɪt][sound:accumulate.mp3]<br />			<hr />【<strong>考法 1</strong>】<br />vi. <strong><ins>逐渐增长：</ins></strong>to <strong><ins>increase gradually</ins></strong> in quantity or number<br /><strong>例</strong>　accumulate a fortune　积攒了一笔财富<br /><strong>近</strong>　mount, swell, garner, snowball, build up, bulk (up)<br /><strong>反</strong>　dissipate, diminish, dwindle, recede, wane　消散，减少<br />
acerbic	L01 U05	[əˈsзːrbɪk][sound:acerbic.mp3]<br />		<hr /><strong>构词</strong>　【记】（话语等）尖酸刻薄→a.（心情、心境或者语调）尖酸的<br /><strong>词根</strong>　<strong>ac</strong>　词根ac表示sharp[尖，锐利]，构成的单词有比较丰富的比喻义。例如acid既指味觉上的sharp, 即刺激味觉、嗅觉的酸味，也指具有强烈腐蚀性的酸，例如硫酸。此外，acid还指语言上的尖酸刻薄，“说话带刺”而使人不舒服。<br /><strong>同根</strong>　acerbic, acme, acrid, acrimonious, exacerbate, acumen, acute<br />	<hr />【<strong>考法 1</strong>】<br />a. <strong><ins>（心情、心境或者语调）尖酸的：</ins></strong>marked by the use of <strong><ins>wit</ins></strong> that is intended to <strong><ins>cause hurt feelings</ins></strong><br /><strong>例</strong>　acerbic commentary　尖酸的评论<br /><strong>近</strong>　pungent, sardonic, satiric, scalding, scathing<br /><strong>反</strong>　sweet, saccharine　甜的<br /><strong>派</strong>　acerbity n．尖酸，刻薄<br />
acme	L01 U05	[ˈækmi][sound:acme.mp3]<br />		<hr /><strong>构词</strong>　【记】（山的）顶尖→n.顶点，极点；顶尖（的例子）→n.最佳典范<br /><strong>词根</strong>　<strong>ac</strong>　词根ac表示sharp[尖，锐利]，构成的单词有比较丰富的比喻义。例如acid既指味觉上的sharp, 即刺激味觉、嗅觉的酸味，也指具有强烈腐蚀性的酸，例如硫酸。此外，acid还指语言上的尖酸刻薄，“说话带刺”而使人不舒服。<br /><strong>同根</strong>　acerbic, acme, acrid, acrimonious, exacerbate, acumen, acute<br />	<hr />【<strong>考法 1</strong>】<br />n. <strong><ins>顶点，极点：</ins></strong>the <strong><ins>highest</ins></strong> point or stage, as of achievement or development<br /><strong>例</strong>　the acme of his career　他事业的巅峰<br /><strong>近</strong>　culmination, pinnacle, tip-top, high-water mark<br /><strong>反</strong>　bottom, nadir, rock bottom　最低点<br />
acquiesce	L01 U05	[ˌækwiˈes][sound:acquiesce.mp3]<br />		<hr /><strong>构词</strong>　【根】ac-[ad-, to]+qui[quiet, 安静的]+-esce[v., become], to become quiet, 变得安静（不再提出异议）→v.勉强同意；默许<br />　　　【注】动词后缀-esce表示“变得[become]…”，对应的形容词（或名词）后缀是-escent[-esc (e)+-ent]。adolescent[青少年的；青少年]字面含义“to[ad-]become[-escent]older[ol], to grow”，指“处于（快速）成长时期的青少年”，其中的词根ol表示grow[生长]的含义，old[变老]是“grow”的结果，正如青少年成长为成年人[adult]。<br /><strong>词根</strong>　<strong>qui (et)</strong>　<br /><strong>同根</strong>　acquiesce, quiescent, tranquility<br />	<hr />【<strong>考法 1</strong>】<br />v. <strong><ins>勉强同意；默许：</ins></strong>to <strong><ins>accept</ins></strong>, comply, or submit <strong><ins>tacitly or passively</ins></strong><br /><strong>例</strong>　acquiesce to my own fleecing　默许我的敲竹杠行为<br /><strong>近</strong>　assent, consent, subscribe, come round<br /><strong>反</strong>　resist, defy, dissent　抵制，不同意<br /><strong>派</strong>　acquiesence n．听话，顺从<br />
acrid	L01 U05	[ˈækrɪd][sound:acrid.mp3]<br />		<hr /><strong>构词</strong>　【记】（味觉、嗅觉）锋利→a.辛辣的，刺鼻的；（话语）锋利→a.刻薄的<br /><strong>词根</strong>　<strong>ac</strong>　词根ac表示sharp[尖，锐利]，构成的单词有比较丰富的比喻义。例如acid既指味觉上的sharp, 即刺激味觉、嗅觉的酸味，也指具有强烈腐蚀性的酸，例如硫酸。此外，acid还指语言上的尖酸刻薄，“说话带刺”而使人不舒服。<br /><strong>同根</strong>　acerbic, acme, acrid, acrimonious, exacerbate, acumen, acute<br />	<hr />【<strong>考法 1</strong>】<br />a. <strong><ins>刻薄的：</ins></strong>marked by the use of <strong><ins>wit</ins></strong> that is intended to <strong><ins>cause hurt feelings</ins></strong><br /><strong>例</strong>　acrid temper　刻薄的性情<br /><strong>反</strong>　gentle　温和的<br />
acrimonious	L01 U05	[ˌækrɪˈmoʊniəs][sound:acrimonious.mp3]<br />		<hr /><strong>构词</strong>　【参】acrid→a.刻薄的，充满仇恨的<br /><strong>词根</strong>　<strong>ac</strong>　词根ac表示sharp[尖，锐利]，构成的单词有比较丰富的比喻义。例如acid既指味觉上的sharp, 即刺激味觉、嗅觉的酸味，也指具有强烈腐蚀性的酸，例如硫酸。此外，acid还指语言上的尖酸刻薄，“说话带刺”而使人不舒服。<br /><strong>同根</strong>　acerbic, acme, acrid, acrimonious, exacerbate, acumen, acute<br />	<hr />【<strong>考法 1</strong>】<br />a. <strong><ins>刻薄的，充满仇恨的：</ins></strong>having or showing <strong><ins>deep-seated resentment</ins></strong><br /><strong>例</strong>　the acrimonious debate between the two candidates　两位候选人之间言辞激烈的辩论<br /><strong>近</strong>　embittered, hard, rancorous, resentful, sore<br />
acumen	L01 U05	[ˈækjəmən][sound:acumen.mp3]<br />		<hr /><strong>构词</strong>　【记】（思维）锐利、敏锐→n.不同寻常的洞察力和鉴别力<br /><strong>词根</strong>　<strong>ac</strong>　词根ac表示sharp[尖，锐利]，构成的单词有比较丰富的比喻义。例如acid既指味觉上的sharp, 即刺激味觉、嗅觉的酸味，也指具有强烈腐蚀性的酸，例如硫酸。此外，acid还指语言上的尖酸刻薄，“说话带刺”而使人不舒服。<br /><strong>同根</strong>　acerbic, acme, acrid, acrimonious, exacerbate, acumen, acute<br />	<hr />【<strong>考法 1</strong>】<br />n. <strong><ins>不同寻常的洞察力和鉴别力：</ins></strong><strong><ins>exceptional discernment and judgment</ins></strong> especially in practical matters<br /><strong>例</strong>　the business acumen　商业方面的洞察力<br /><strong>近</strong>　keenness, shrewdness, canniness, clear-sightedness, hardheadedness<br /><strong>反</strong>　unable to discern　不能辨别的<br />
acute	L01 U05	[əˈkjuːt][sound:acute.mp3]<br />		<hr /><strong>构词</strong>　【记】（思维）锐利→a.敏锐的；sharp, 来得突然而且强烈→a.严重的，急性的；（程度、影响）极强的<br /><strong>词根</strong>　<strong>ac</strong>　词根ac表示sharp[尖，锐利]，构成的单词有比较丰富的比喻义。例如acid既指味觉上的sharp, 即刺激味觉、嗅觉的酸味，也指具有强烈腐蚀性的酸，例如硫酸。此外，acid还指语言上的尖酸刻薄，“说话带刺”而使人不舒服。<br /><strong>同根</strong>　acerbic, acme, acrid, acrimonious, exacerbate, acumen, acute<br />	<hr />【<strong>考法 1</strong>】<br />a. <strong><ins>敏锐的：</ins></strong>marked by <strong><ins>keen discernment</ins></strong> or intellectual perception especially of subtle distinctions, penetrating<br /><strong>例</strong>　an acute thinker　思维敏锐的思想者<br /><strong>近</strong>　delicate, fine, keen, perceptive, sensitive<br /><hr />【<strong>考法 2</strong>】<br />a. <strong><ins>（程度、影响）极强的：</ins></strong><strong><ins>extreme</ins></strong> in degree, or effect<br /><strong>例</strong>　She was experiencing acute distress over the misunderstanding with her best friend．她因与死党之间发生误会而陷入了深深的痛苦中。<br /><strong>近</strong>　dreadful, excruciating, profound<br /><strong>反</strong>　light, moderate, soft　温和的<br />
